,Locality Name,1 BHk rent range,1 BHk avg rent,2 BHk rent range,2 BHk avg rent,3 BHk rent range,3 BHk avg rent,Latitude,Longitude
1466,Garden Villas,-,-,9000,9000,-,-,12.9629,77.5197
1467,GM Palaya,-,-,18500,18500,-,-,12.9751,77.6659
1468,Gunjur Palaya,-,-,18000,18000,-,-,12.9218,77.7186
1469,Hadosiddapura,"7,700 - 12,000",10533.33,-,-,-,-,12.8977,77.7066
1470,Hagadur,"11,500 - 13,900",1366.67,15000,15000,-,-,12.9661,77.757
1471,Hanumatha Nagar,6500,6500,"15,000 - 20,000",17500,-,-,12.9425,77.5626
1472,HBR Layout 2nd Block,-,-,2 L,200000,-,-,13.0232,77.6286
1473,Hennur Rd,-,-,27000,27000,-,-,13.0377,77.6288
1474,HMT Housing Colony,8500,8500,13000,13000,-,-,13.0347,77.5003
1475,HMT Layout,-,-,19000,19000,"23,000 - 25,000",24000,13.0311,77.5569
1476,Hoodi ITPL Road Mahadevapura,"10,000 - 13,500",12333.33,-,-,-,-,12.9958,77.7273
1477,Jogupalya,21500,21500,16500,16500,-,-,12.9694,77.6229
1478,Kempapura Agrahara,-,-,"12,500 - 30,000",21250,-,-,12.9701,77.5526
1479,Kempegowda Nagar,22500,22500,-,-,-,-,12.9473,77.5634
1480,Lakkasandra,"7,500 - 11,500",9500,-,-,-,-,12.9435,77.6006
1481,Langford Road,-,-,"37,000 - 42,000",39500,-,-,12.957,77.6028
1482,Meenakshi Layout,13000,13000,"13,000 - 25,000",19000,-,-,12.8841,77.6744
1483,Mitganahalli,9000,9000,9000,9000,-,-,13.109,77.6622
1484,Muthyala Nagar,-,-,"13,000 - 20,000",16500,-,-,13.0406,77.5498
1485,Naganathapura,7500,7500,-,-,25000,25000,12.8709,77.6629
1486,Nagenahalli,6500,6500,-,-,-,-,13.1309,77.5741
1487,Neeladri Nagar,-,-,16000,16000,-,-,12.8391,77.6472
1488,Neeladri Nagar Electronics City Phase 1,-,-,"18,000 - 18,500",18250,-,-,12.8391,77.6472
1489,Palace Guttahalli,6000,6000,-,-,-,-,12.9974,77.578
1490,Rajashree Layout,"10,500 - 12,000",11250,17000,17000,23363,23363,12.9521,77.708
1491,Ramanshree Nagar,18500,18500,-,-,21000,21000,12.8635,77.597
1492,Rukmaiah Layout,12000,12000,16000,16000,33000,33000,12.8784,77.6128
1493,Sanjeevini Nagar,-,-,"18,000 - 65,000",41500,-,-,13.055,77.5888
1494,Saptagiri Layout,7000,7000,-,-,17000,17000,12.9177,77.5347
1495,Shivanagar,8000,8000,-,-,-,-,12.9918,77.5487
1496,"Subramanyanagar,2 State",12000,12000,-,-,-,-,13.0064,77.5576
1497,Suddaguntepalya,"8,500 - 12,800",10575,-,-,-,-,12.9309,77.6097
1498,Telecom Layout,-,-,35000,35000,-,-,13.0693,77.6171
